Serial Number,Name,Symptoms
432,Polymyositis,"Difficulty swallowing. If the muscles in your esophagus are affected, you may have problems swallowing (dysphagia), which in turn may cause weight loss and malnutrition.,Aspiration pneumonia. Difficulty swallowing may also cause you to breathe food or liquids, including saliva, into your lungs (aspiration), which can lead to pneumonia.,Breathing problems. If your chest muscles are affected by the disease, you may experience breathing problems, such as shortness of breath or, in severe cases, respiratory failure.,"
433,Rheumatic fever,"Fever,Painful and tender joints — most often in the knees, ankles, elbows and wrists,Pain in one joint that migrates to another joint,Red, hot or swollen joints,Small, painless bumps beneath the skin,Chest pain,Heart murmur,Fatigue,Flat or slightly raised, painless rash with a ragged edge,Jerky, uncontrollable body movements (Sydenham chorea) — most often in the hands, feet and face,Outbursts of unusual behavior, such as crying or inappropriate laughing, that accompanies Sydenham chorea,"
434,Congenital myasthenic syndromes,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
435,Systemic mastocytosis,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
436,Glioma,"
Awake brain surgery
,
Computer-assisted brain surgery
,
CT scan
,
Intraoperative magnetic resonance imaging (iMRI)
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,"
437,Laryngitis,"Hoarseness,Weak voice or voice loss,Tickling sensation and rawness of your throat,Sore throat,Dry throat ,Dry cough,"
438,Corticobasal degeneration,"Difficulty moving on one or both sides of the body, which gets worse over time,Poor coordination,Trouble with balance,Stiffness,Abnormal postures of the hands or feet, such as a hand forming a clenched fist,Muscle jerks,Difficulty swallowing,Abnormal eye movements,Trouble with thinking, speech and language,"
439,Toxic shock syndrome,"A sudden high fever,Low blood pressure,Vomiting or diarrhea,A rash resembling a sunburn, particularly on your palms and soles,Confusion,Muscle aches,Redness of your eyes, mouth and throat,Seizures,Headaches,"
440,Frontal lobe seizures,"Head and eye movement to one side,Complete or partial unresponsiveness or difficulty speaking,Explosive screams, including profanities, or laughter,Abnormal body posturing, such as one arm extending while the other flexes, as if the person is posing like a fencer,Repetitive movements, such as rocking, bicycle pedaling or pelvic thrusting,"
441,Hemorrhoids,"
Colonoscopy
,
Flexible sigmoidoscopy
,"
442,Impetigo,"Age. Impetigo most commonly occurs in children ages 2 to 5.,Crowded conditions. Impetigo spreads easily in schools and child care settings.,Warm, humid weather. Impetigo infections are more common in summer.,Certain sports. Participation in sports that involve skin-to-skin contact, such as football or wrestling, increases your risk of developing impetigo.,Broken skin. The bacteria that cause impetigo often enter your skin through a small skin injury, insect bite or rash.,"
443,Mood disorders,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
444,West Nile virus,"Fever,Headache,Body aches,Vomiting,Diarrhea,Fatigue,Skin rash,"
445,ARDS,"Severe shortness of breath,Labored and unusually rapid breathing,Low blood pressure,Confusion and extreme tiredness,"
446,Congenital myopathies,"Lack of muscle tone,Muscle weakness,Delayed motor skills,Noticeable facial weakness,Drooping eyelids,Muscle cramps or contractions,"
447,Acromegaly,"Enlarged hands and feet,Coarsened, enlarged facial features,Coarse, oily, thickened skin,Excessive sweating and body odor,Small outgrowths of skin tissue (skin tags),Fatigue and muscle weakness,A deepened, husky voice due to enlarged vocal cords and sinuses,Severe snoring due to obstruction of the upper airway,Impaired vision,Headaches,Enlarged tongue,Pain and limited joint mobility,Menstrual cycle irregularities in women,Erectile dysfunction in men,Enlarged organs, such as the heart,Loss of interest in sex,"
448,Liver cancer,"Losing weight without trying,Loss of appetite,Upper abdominal pain,Nausea and vomiting,General weakness and fatigue,Abdominal swelling,Yellow discoloration of your skin and the whites of your eyes (jaundice),White, chalky stools,"
449,Heart arrhythmia,"
Ablation therapy
,
Cardiac ablation
,
Cardioversion
,
Coronary bypass surgery
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
EP study
,
Holter monitor
,
Implantable cardioverter-defibrillators (ICDs)
,
Implantable loop recorder
,
Pacemaker
,
Stress test
,
Tilt table test
,"
450,Chronic fatigue syndrome,"Fatigue,Loss of memory or concentration,Sore throat,Enlarged lymph nodes in your neck or armpits,Unexplained muscle or joint pain,Headaches,Unrefreshing sleep,Extreme exhaustion lasting more than 24 hours after physical or mental exercise,"
451,Left ventricular hypertrophy,"Shortness of breath,Fatigue,Chest pain, often after exercising,Sensation of rapid, fluttering or pounding heartbeats (palpitations),Dizziness or fainting,"
452,Milk allergy,"Hives,Wheezing,Itching or tingling feeling around the lips or mouth,Swelling of the lips, tongue or throat,Coughing or shortness of breath,Vomiting,"
453,Bone metastasis,"Bone pain,Broken bones,Urinary incontinence,Bowel incontinence,Weakness in the legs or arms,High levels of calcium in the blood (hypercalcemia), which can cause nausea, vomiting, constipation and confusion,"
454,Croup,"
X-ray
,"
455,Neuroendocrine tumors,"
New therapy improving lives of patients with neuroendocrine tumors
Dec. 13, 2019, 10:00 p.m.  CDT
,"
456,Anorexia nervosa,"Extreme weight loss or not making expected developmental weight gains,Thin appearance,Abnormal blood counts,Fatigue,Insomnia,Dizziness or fainting,Bluish discoloration of the fingers,Hair that thins, breaks or falls out,Soft, downy hair covering the body,Absence of menstruation,Constipation and abdominal pain,Dry or yellowish skin,Intolerance of cold,Irregular heart rhythms,Low blood pressure,Dehydration,Swelling of arms or legs,Eroded teeth and calluses on the knuckles from induced vomiting,"
457,Atelectasis,"Difficulty breathing,Rapid, shallow breathing,Wheezing,Cough,"
458,Diabetic coma,"Increased thirst,Frequent urination,Fatigue,Nausea and vomiting,Shortness of breath,Stomach pain,Fruity breath odor,A very dry mouth,A rapid heartbeat,"
459,Pink eye (conjunctivitis),"
Mayo Clinic Q and A: When does pinkeye require treatment?
Nov. 22, 2019, 10:00 p.m.  CDT
,
Home Remedies: Coping with conjunctivitis
Sept. 19, 2018, 05:00 p.m.  CDT
,"
460,Ebola virus and Marburg virus,"Fever,Severe headache,Joint and muscle aches,Chills,Weakness,"
461,Rubella,"Mild fever of 102 F (38.9 C) or lower,Headache,Stuffy or runny nose,Inflamed, red eyes,Enlarged, tender lymph nodes at the base of the skull, the back of the neck and behind the ears,A fine, pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs, before disappearing in the same sequence,Aching joints, especially in young women,"
462,Nickel allergy,"Rash or bumps on the skin,Itching, which may be severe,Redness or changes in skin color,Dry patches of skin that may resemble a burn,Blisters and draining fluid in severe cases,"
463,Ampullary cancer,"Yellowing of the skin and eyes (jaundice),Clay-colored stools,Abdominal pain,Fever,Bleeding from the rectum,Nausea,Vomiting,Weight loss,"
464,Dermatitis,"Atopic dermatitis (eczema). This type is likely related to dry skin, a gene variation, an immune system dysfunction, a skin infection, exposure to food, airborne, or contact allergens, or a combination of these.,Contact dermatitis. This type results from contact with something that irritates your skin or causes an allergic reaction. Irritants or allergens include poison ivy, perfumes, jewelry containing nickel, cleaning products, and the preservatives in many creams and lotions.,Seborrheic dermatitis. This type is caused by a yeast (fungus) that is in the oil secretion on the skin.,"
465,Intestinal ischemia,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
466,Monoclonal gammopathy of undetermined significance (MGUS),"Age. The average age at diagnosis is 70 years.,Race. Africans and African Americans are more likely to experience MGUS than are white people.,Sex. MGUS is more common in men.,Family history. You may have a higher risk of MGUS if other people in your family have the condition.,"
467,Neck pain,"Pain that's often worsened by holding your head in one place for long periods, such as when driving or working at a computer,Muscle tightness and spasms,Decreased ability to move your head,Headache,"
468,Paget's disease of the breast,"Flaky or scaly skin on your nipple,Crusty, oozing or hardened skin resembling eczema on the nipple, areola or both,Itching,Redness,A tingling or burning sensation,Straw-colored or bloody nipple discharge,A flattened or turned-in (inverted) nipple,A lump in the breast,Thickening skin on the breast,"
469,Cervical dystonia,"Chin toward shoulder,Ear toward shoulder,Chin straight up,Chin straight down,"
470,Myasthenia gravis,"Drooping of one or both eyelids (ptosis),Double vision (diplopia), which may be horizontal or vertical, and improves or resolves when one eye is closed,"
471,Thoracic outlet syndrome,"Neurogenic (neurological) thoracic outlet syndrome. This most common type of thoracic outlet syndrome is characterized by compression of the brachial plexus. The brachial plexus is a network of nerves that come from your spinal cord and control muscle movements and sensation in your shoulder, arm and hand. ,Vascular thoracic outlet syndrome. This type of thoracic outlet syndrome occurs when one or more of the veins (venous thoracic outlet syndrome) or arteries (arterial thoracic outlet syndrome) under the collarbone (clavicle) are compressed.,Nonspecific-type thoracic outlet syndrome. This type is also called disputed thoracic outlet syndrome. Some doctors don't believe it exists, while others say it's a common disorder. People with nonspecific-type thoracic outlet syndrome have chronic pain in the area of the thoracic outlet that worsens with activity, but a specific cause of the pain can't be determined.,"
